id,xP
1,7.2
2,0.0
3,0.0
4,6.0
5,0.1
6,0.0
7,2.2
8,7.0
9,0.5
10,5.2
11,1.5
12,7.5
13,4.8
14,0.8
15,6.8
16,0.5
17,0.8
18,0.0
19,1.0
20,0.0
22,0.0
23,0.0
24,0.0
25,0.2
26,4.2
27,0.0
31,2.8
452,2.0
557,3.5
29,0.2
30,0.0
32,1.4
33,1.8
34,0.8
35,0.2
36,2.2
37,1.8
38,0.0
39,0.0
41,2.2
44,0.0
45,2.8
46,2.2
47,2.2
48,0.0
49,0.0
50,0.0
51,2.0
52,2.0
53,0.1
54,0.0
55,0.0
56,0.8
160,0.8
166,1.0
582,0.0
596,0.5
597,3.5
606,0.0
607,0.0
611,1.7
618,0.0
630,0.0
631,0.5
57,1.8
58,0.0
59,0.0
60,2.0
61,2.0
62,0.0
63,0.0
64,0.5
65,0.0
66,0.0
67,2.0
68,7.2
69,7.0
70,3.8
71,1.8
72,0.8
73,2.0
74,0.5
75,0.8
76,0.2
77,0.0
78,0.0
79,4.0
80,0.0
81,0.5
566,2.5
573,0.0
608,0.5
615,0.0
82,3.5
83,0.0
84,0.0
85,0.0
86,4.8
87,3.5
88,4.2
89,0.2
90,1.0
92,0.0
93,1.8
94,7.5
95,1.5
96,3.2
97,0.0
98,6.2
99,0.0
100,0.0
102,1.5
103,0.0
105,1.2
106,1.2
107,0.0
108,0.8
565,5.5
620,0.3
657,1.1
109,4.2
111,0.0
113,2.0
114,3.2
115,8.0
116,5.5
117,0.0
118,0.0
119,0.8
120,0.0
121,0.0
122,0.0
123,0.0
124,8.2
125,0.9
126,0.2
127,4.0
128,0.0
129,3.0
130,0.0
132,0.0
133,0.0
134,0.0
135,0.0
137,0.0
138,4.5
139,0.0
328,0.5
504,6.0
594,0.2
600,0.8
605,4.8
614,0.0
624,0.0
639,2.0
652,0.0
658,1.1
28,1.8
40,6.8
101,0.0
136,0.5
140,0.0
141,0.0
142,0.8
143,0.0
144,1.0
145,1.0
146,0.0
148,2.0
149,0.5
150,0.0
151,1.2
152,0.0
154,6.5
156,3.0
157,0.8
158,0.0
159,0.0
161,2.8
163,0.0
164,0.2
165,8.2
168,0.0
169,0.0
170,0.0
200,2.5
560,0.0
561,0.0
568,0.2
583,1.0
91,1.5
104,1.5
110,1.2
171,0.0
172,0.0
173,3.8
174,0.0
175,1.5
176,1.2
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,1.0
183,2.0
184,2.0
185,0.2
186,1.0
187,0.0
188,0.8
189,0.0
190,1.0
191,0.0
192,0.0
193,0.0
194,1.2
195,0.8
196,0.0
197,0.0
492,0.8
575,1.5
584,0.8
599,0.2
623,0.0
655,2.0
656,1.1
